+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 26/09/2015 15:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-26 15:00:25
Numero BTs: 109
Disponibilidad MUEBLE: 1888685 / 1926834  (0.98020120051857)
Disponibilidad PUERTAS: 1910519 / 1926448  (0.99173141449964)
Disponibilidad FOTOCELULA: 1917167 / 1926448  (0.99518232519123)
Disponibilidad VARIADOR: 1921631 / 1926448  (0.99749954320075)
Disponibilidad LECTOR_QR_ENTRADA: 1923897 / 1924873  (0.99949295356109)
Disponibilidad LECTOR_QR_SALIDA: 1923897 / 1924873  (0.99949295356109)
Disponibilidad VTSC_ENTRADA: 1925470 / 1926834  (0.9992921030042)
Disponibilidad VTSC_SALIDA: 1924796 / 1926834  (0.99894230639484)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 9677 / 9909  (0.9765869411646)
Disponibilidad PUERTAS: 9909 / 9909  (1)
Disponibilidad FOTOCELULA: 9859 / 9909  (0.99495408214754)
Disponibilidad VARIADOR: 9909 / 9909  (1)
Disponibilidad LECTOR_QR_ENTRADA: 9909 / 9909  (1)
Disponibilidad LECTOR_QR_SALIDA: 9909 / 9909  (1)
Disponibilidad VTSC_ENTRADA: 9909 / 9909  (1)
Disponibilidad VTSC_SALIDA: 9908 / 9909  (0.99989908164295)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-26 15:06:06
Numero MAVs: 59
Disponibilidad MAVs: 3823738 / 3977694  (0.96129516247353)
Disponibilidad PaySystem: 3818680 / 3972511  (0.96127612988359)
Disponibilidad Printer: 3914378 / 3972511  (0.9853661827494)
Disponibilidad RFID: 3940888 / 3977694  (0.99074690008834)
Disponibilidad PLC: 3969609 / 3977694  (0.99796741529137)
Disponibilidad Conexion: 3977694 / 4079059  (0.97514990589741)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2826
Validaciones / Aperturas Ultima: 375 / 467  (-0.24533333333333)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	23		23		-0		0
 10.40.1.101	11		11		-0		0
 10.40.1.102	7		7		-0		0
 10.40.1.103	4		4		-0		0
 10.40.1.104	7		7		-0		0
 10.40.1.105	3		3		-0		0
 10.40.1.106	0		0		-0		0
 10.40.1.107	0		0		-0		0
 10.40.1.108	30		30		-0		0
 10.40.1.109	24		24		-0		0
 10.40.1.110	0		0		-0		0
 10.40.1.111	0		92		-0		
 10.40.1.112	12		12		-0		0
 10.40.1.113	12		12		-0		0
 10.40.10.100	7		7		-0		0
 10.40.10.101	4		4		-0		0
 10.40.11.100	1		1		-0		0
 10.40.11.101	10		10		-0		0
 10.40.11.102	8		8		-0		0
 10.40.12.100	1		1		-0		0
 10.40.12.101	6		6		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	2		2		-0		0
 10.40.13.101	0		0		-0		0
 10.40.13.102	8		8		-0		0
 10.40.13.103	0		0		-0		0
 10.40.13.104	13		13		-0		0
 10.40.13.105	14		14		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	3		3		-0		0
 10.40.17.100	2		2		-0		0
 10.40.17.101	1		1		-0		0
 10.40.17.102	1		1		-0		0
 10.40.18.100	11		11		-0		0
 10.40.18.101	3		3		-0		0
 10.40.18.102	2		2		-0		0
 10.40.2.100	1		1		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	2		2		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	7		7		-0		0
 10.40.21.101	20		20		-0		0
 10.40.21.102	28		28		-0		0
 10.40.21.103	16		16		-0		0
 10.40.22.100	1		1		-0		0
 10.40.22.101	1		1		-0		0
 10.40.22.102	0		0		-0		0
 10.40.22.103	2		2		-0		0
 10.40.23.100	1		1		-0		0
 10.40.23.101	3		3		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	1		1		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	1		1		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	0		0		-0		0
 10.40.4.100	1		1		-0		0
