+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 29/09/2015 15:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-29 15:00:26
Numero BTs: 109
Disponibilidad MUEBLE: 1934118 / 1973602  (0.97999394001425)
Disponibilidad PUERTAS: 1957189 / 1973216  (0.99187772651347)
Disponibilidad FOTOCELULA: 1963565 / 1973216  (0.99510899972431)
Disponibilidad VARIADOR: 1968319 / 1973216  (0.99751826459952)
Disponibilidad LECTOR_QR_ENTRADA: 1970665 / 1971641  (0.99950498087634)
Disponibilidad LECTOR_QR_SALIDA: 1970665 / 1971641  (0.99950498087634)
Disponibilidad VTSC_ENTRADA: 1972235 / 1973602  (0.99930735781581)
Disponibilidad VTSC_SALIDA: 1971562 / 1973602  (0.99896635694532)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 9465 / 9737  (0.97206531785971)
Disponibilidad PUERTAS: 9657 / 9737  (0.99178391701756)
Disponibilidad FOTOCELULA: 9727 / 9737  (0.9989729896272)
Disponibilidad VARIADOR: 9657 / 9737  (0.99178391701756)
Disponibilidad LECTOR_QR_ENTRADA: 9737 / 9737  (1)
Disponibilidad LECTOR_QR_SALIDA: 9737 / 9737  (1)
Disponibilidad VTSC_ENTRADA: 9737 / 9737  (1)
Disponibilidad VTSC_SALIDA: 9737 / 9737  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-29 15:06:07
Numero MAVs: 59
Disponibilidad MAVs: 3921287 / 4078450  (0.96146501734728)
Disponibilidad PaySystem: 3916229 / 4073267  (0.96144667167657)
Disponibilidad Printer: 4014959 / 4073267  (0.98568520060188)
Disponibilidad RFID: 4041240 / 4078450  (0.99087643590089)
Disponibilidad PLC: 4070020 / 4078494  (0.99792227228972)
Disponibilidad Conexion: 4078538 / 4181099  (0.9754703249074)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2898
Validaciones / Aperturas Ultima: 1249 / 1248  (0.00080064051240993)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	40		40		-0		0
 10.40.1.101	31		31		-0		0
 10.40.1.102	24		24		-0		0
 10.40.1.103	19		19		-0		0
 10.40.1.104	21		21		-0		0
 10.40.1.105	22		22		-0		0
 10.40.1.106	13		13		-0		0
 10.40.1.107	26		27		-0		-0.038461538461538
 10.40.1.108	72		72		-0		0
 10.40.1.109	62		62		-0		0
 10.40.1.110	0		0		-0		0
 10.40.1.111	37		37		-0		0
 10.40.1.112	40		40		-0		0
 10.40.1.113	40		40		-0		0
 10.40.10.100	8		8		-0		0
 10.40.10.101	10		10		-0		0
 10.40.11.100	7		7		-0		0
 10.40.11.101	21		21		-0		0
 10.40.11.102	13		12		-0		0.076923076923077
 10.40.12.100	7		7		-0		0
 10.40.12.101	9		9		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	7		7		-0		0
 10.40.13.101	14		14		-0		0
 10.40.13.102	16		16		-0		0
 10.40.13.103	30		30		-0		0
 10.40.13.104	44		44		-0		0
 10.40.13.105	24		24		-0		0
 10.40.15.100	3		3		-0		0
 10.40.15.101	3		3		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	9		9		-0		0
 10.40.17.100	9		8		-0		0.11111111111111
 10.40.17.101	8		8		-0		0
 10.40.17.102	5		5		-0		0
 10.40.18.100	1		1		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	5		5		-0		0
 10.40.2.101	2		2		-0		0
 10.40.20.100	6		6		-0		0
 10.40.20.101	4		4		-0		0
 10.40.21.100	17		17		-0		0
 10.40.21.101	23		23		-0		0
 10.40.21.102	27		27		-0		0
 10.40.21.103	20		20		-0		0
 10.40.22.100	19		19		-0		0
 10.40.22.101	11		11		-0		0
 10.40.22.102	7		7		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	6		6		-0		0
 10.40.23.101	6		6		-0		0
 10.40.23.102	10		10		-0		0
 10.40.23.103	9		9		-0		0
 10.40.24.100	1		1		-0		0
 10.40.24.101	3		3		-0		0
 10.40.24.102	1		1		-0		0
 10.40.24.103	1		1		-0		0
 10.40.25.100	2		2		-0		0
 10.40.25.101	8		8		-0		0
 10.40.25.102	7		7		-0		0
 10.40.25.103	7		7		-0		0
 10.40.26.100	3		3		-0		0
 10.40.26.101	2		2		-0		0
 10.40.26.102	2		2		-0		0
 10.40.26.103	4		4		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	1		1		-0		0
 10.40.27.102	1		1		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	1		1		-0		0
 10.40.28.101	1		1		-0		0
 10.40.28.102	1		1		-0		0
 10.40.28.103	1		1		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	12		12		-0		0
 10.40.29.105	16		16		-0		0
 10.40.29.106	23		23		-0		0
 10.40.29.107	36		36		-0		0
 10.40.3.100	7		7		-0		0
 10.40.3.101	6		6		-0		0
 10.40.3.102	3		3		-0		0
 10.40.3.103	1		1		-0		0
 10.40.30.100	9		9		-0		0
 10.40.30.101	13		13		-0		0
