+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 29/09/2015 20:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-29 20:00:24
Numero BTs: 109
Disponibilidad MUEBLE: 1937265 / 1976812  (0.97999455689261)
Disponibilidad PUERTAS: 1960399 / 1976426  (0.99189091825345)
Disponibilidad FOTOCELULA: 1966772 / 1976426  (0.99511542552061)
Disponibilidad VARIADOR: 1971529 / 1976426  (0.99752229529464)
Disponibilidad LECTOR_QR_ENTRADA: 1973875 / 1974851  (0.99950578549977)
Disponibilidad LECTOR_QR_SALIDA: 1973875 / 1974851  (0.99950578549977)
Disponibilidad VTSC_ENTRADA: 1975445 / 1976812  (0.99930848254665)
Disponibilidad VTSC_SALIDA: 1974771 / 1976812  (0.99896752953746)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 12612 / 12947  (0.97412527998764)
Disponibilidad PUERTAS: 12867 / 12947  (0.99382096238511)
Disponibilidad FOTOCELULA: 12934 / 12947  (0.99899590638758)
Disponibilidad VARIADOR: 12867 / 12947  (0.99382096238511)
Disponibilidad LECTOR_QR_ENTRADA: 12947 / 12947  (1)
Disponibilidad LECTOR_QR_SALIDA: 12947 / 12947  (1)
Disponibilidad VTSC_ENTRADA: 12947 / 12947  (1)
Disponibilidad VTSC_SALIDA: 12946 / 12947  (0.99992276202981)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-29 20:06:08
Numero MAVs: 59
Disponibilidad MAVs: 3928099 / 4085517  (0.96146925835824)
Disponibilidad PaySystem: 3923041 / 4080334  (0.96145094984871)
Disponibilidad Printer: 4022002 / 4080334  (0.98570411147715)
Disponibilidad RFID: 4048290 / 4085517  (0.99088805651769)
Disponibilidad PLC: 4077024 / 4085517  (0.99792119332755)
Disponibilidad Conexion: 4085534 / 4188109  (0.9755080395472)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 56 / 59  (0.94915254237288)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2903
Validaciones / Aperturas Ultima: 585 / 586  (-0.0017094017094017)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	11		11		-0		0
 10.40.1.101	13		13		-0		0
 10.40.1.102	8		8		-0		0
 10.40.1.103	8		8		-0		0
 10.40.1.104	4		5		-0		-0.25
 10.40.1.105	4		4		-0		0
 10.40.1.106	6		6		-0		0
 10.40.1.107	13		13		-0		0
 10.40.1.108	42		42		-0		0
 10.40.1.109	26		26		-0		0
 10.40.1.110	0		0		-0		0
 10.40.1.111	15		15		-0		0
 10.40.1.112	15		15		-0		0
 10.40.1.113	11		11		-0		0
 10.40.10.100	6		6		-0		0
 10.40.10.101	7		7		-0		0
 10.40.11.100	6		6		-0		0
 10.40.11.101	4		4		-0		0
 10.40.11.102	6		6		-0		0
 10.40.12.100	1		1		-0		0
 10.40.12.101	4		4		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	2		2		-0		0
 10.40.13.101	4		4		-0		0
 10.40.13.102	14		14		-0		0
 10.40.13.103	21		21		-0		0
 10.40.13.104	29		29		-0		0
 10.40.13.105	19		19		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	4		4		-0		0
 10.40.17.100	3		3		-0		0
 10.40.17.101	7		7		-0		0
 10.40.17.102	5		5		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	1		1		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	1		1		-0		0
 10.40.20.100	3		3		-0		0
 10.40.20.101	4		4		-0		0
 10.40.21.100	7		7		-0		0
 10.40.21.101	22		22		-0		0
 10.40.21.102	23		23		-0		0
 10.40.21.103	15		15		-0		0
 10.40.22.100	4		4		-0		0
 10.40.22.101	1		1		-0		0
 10.40.22.102	0		0		-0		0
 10.40.22.103	1		1		-0		0
 10.40.23.100	1		1		-0		0
 10.40.23.101	1		1		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	6		6		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	2		2		-0		0
 10.40.25.101	4		4		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	1		1		-0		0
 10.40.27.102	1		1		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	3		3		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	4		4		-0		0
 10.40.29.105	11		11		-0		0
 10.40.29.106	21		21		-0		0
 10.40.29.107	37		37		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	1		1		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	4		4		-0		0
 10.40.4.100	2		2		-0		0
 10.40.4.101	1		1		-0		0
