+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 30/09/2015 16:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-30 16:00:24
Numero BTs: 109
Disponibilidad MUEBLE: 1949434 / 1989411  (0.97990510759215)
Disponibilidad PUERTAS: 1972961 / 1989025  (0.99192368120059)
Disponibilidad FOTOCELULA: 1979257 / 1989025  (0.99508905116829)
Disponibilidad VARIADOR: 1984089 / 1989025  (0.99751838212189)
Disponibilidad LECTOR_QR_ENTRADA: 1986474 / 1987450  (0.99950891846336)
Disponibilidad LECTOR_QR_SALIDA: 1986474 / 1987450  (0.99950891846336)
Disponibilidad VTSC_ENTRADA: 1988043 / 1989411  (0.99931235928624)
Disponibilidad VTSC_SALIDA: 1987369 / 1989411  (0.99897356554277)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 9754 / 10138  (0.96212270664825)
Disponibilidad PUERTAS: 10101 / 10138  (0.9963503649635)
Disponibilidad FOTOCELULA: 10024 / 10138  (0.9887551785362)
Disponibilidad VARIADOR: 10099 / 10138  (0.99615308739396)
Disponibilidad LECTOR_QR_ENTRADA: 10138 / 10138  (1)
Disponibilidad LECTOR_QR_SALIDA: 10138 / 10138  (1)
Disponibilidad VTSC_ENTRADA: 10138 / 10138  (1)
Disponibilidad VTSC_SALIDA: 10138 / 10138  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 104 / 109  (0.95412844036697)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 107 / 109  (0.98165137614679)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-30 16:06:09
Numero MAVs: 59
Disponibilidad MAVs: 3955256 / 4113087  (0.9616271185122)
Disponibilidad PaySystem: 3950198 / 4107904  (0.96160913205372)
Disponibilidad Printer: 4049529 / 4107904  (0.98578959001963)
Disponibilidad RFID: 4075857 / 4113087  (0.99094840444659)
Disponibilidad PLC: 4104594 / 4113087  (0.99793512755748)
Disponibilidad Conexion: 4113107 / 4216432  (0.9754946836567)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 59 / 59  (1)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2923
Validaciones / Aperturas Ultima: 757 / 756  (0.0013210039630119)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	25		25		-0		0
 10.40.1.101	21		21		-0		0
 10.40.1.102	17		17		-0		0
 10.40.1.103	16		16		-0		0
 10.40.1.104	20		20		-0		0
 10.40.1.105	16		16		-0		0
 10.40.1.106	13		13		-0		0
 10.40.1.107	8		8		-0		0
 10.40.1.108	33		33		-0		0
 10.40.1.109	37		37		-0		0
 10.40.1.110	0		0		-0		0
 10.40.1.111	26		26		-0		0
 10.40.1.112	36		36		-0		0
 10.40.1.113	34		34		-0		0
 10.40.10.100	9		9		-0		0
 10.40.10.101	4		4		-0		0
 10.40.11.100	2		2		-0		0
 10.40.11.101	11		11		-0		0
 10.40.11.102	6		6		-0		0
 10.40.12.100	4		4		-0		0
 10.40.12.101	4		4		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	6		6		-0		0
 10.40.13.101	5		5		-0		0
 10.40.13.102	9		9		-0		0
 10.40.13.103	17		17		-0		0
 10.40.13.104	21		21		-0		0
 10.40.13.105	10		10		-0		0
 10.40.15.100	3		3		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	3		3		-0		0
 10.40.17.100	8		8		-0		0
 10.40.17.101	6		6		-0		0
 10.40.17.102	5		5		-0		0
 10.40.18.100	10		10		-0		0
 10.40.18.101	7		7		-0		0
 10.40.18.102	7		7		-0		0
 10.40.2.100	2		2		-0		0
 10.40.2.101	2		2		-0		0
 10.40.20.100	4		4		-0		0
 10.40.20.101	4		4		-0		0
 10.40.21.100	11		11		-0		0
 10.40.21.101	24		24		-0		0
 10.40.21.102	23		23		-0		0
 10.40.21.103	17		17		-0		0
 10.40.22.100	12		12		-0		0
 10.40.22.101	6		6		-0		0
 10.40.22.102	7		7		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	1		1		-0		0
 10.40.23.102	2		2		-0		0
 10.40.23.103	3		3		-0		0
 10.40.24.100	4		4		-0		0
 10.40.24.101	5		5		-0		0
 10.40.24.102	1		1		-0		0
 10.40.24.103	1		1		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	3		3		-0		0
 10.40.25.102	2		2		-0		0
 10.40.25.103	2		2		-0		0
 10.40.26.100	3		3		-0		0
 10.40.26.101	3		3		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	1		1		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	1		1		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	9		9		-0		0
 10.40.29.105	5		5		-0		0
 10.40.29.106	9		9		-0		0
 10.40.29.107	24		24		-0		0
 10.40.3.100	1		1		-0		0
 10.40.3.101	1		1		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	0		0		-0		0
 10.40.4.100	2		2		-0		0
 10.40.4.101	1		1		-0		0
 10.40.4.102	3		3		-0		0
 10.40.5.100	3		3		-0		0
 10.40.5.101	1		1		-0		0
 10.40.5.102	1		1		-0		0
 10.40.5.103	1		0		-0		1
 10.40.6.100	6		6		-0		0
 10.40.6.101	8		8		-0		0
 10.40.7.100	3		3		-0		0
 10.40.7.101	0		0		-0		0
